gene,log2FC
NAP1L4,17.677265
NASP,26.699285
NCAPH,21.327385
NUDCD3,
NUP35,21.152825
OSBPL11,19.854975
PARVA,
PBRM1,19.777639999999998
PDLIM1,25.652344999999997
PIK3C2A,19.1794
PKN2,21.8478
PKP2,19.848665
PLEKHG6,24.37981
PODXL2,16.953125
POU2F1;POU2F3,22.839895
PPP1R9A,23.77532
PRKD3;PRKD1,17.6136
RAD51AP1,20.286645
RAP1GAP,24.61474
RAPGEF6,22.45711
RBM7,22.85282
RMI1,16.807845
RNF25,25.414645
SAMD4B,17.91158
SASS6,19.30396
SEC16A,24.236984999999997
SETD5,18.325625
SETMAR,22.609875
SF3B2,22.04869
SGK223,20.545135
SKA3,22.03279
SLAIN2,23.014965
SLCO4C1,
SLK,23.17634
SMARCA4,22.60637
SMC4,18.04138
SMTN,21.444405
SOX13,17.244705
SPAG5,13.0669805
STRN4,15.940915
STX10,19.630135
TCF25,
TFE3,21.083045000000002
TJP1,21.617255
TJP2,24.315785
TMEM115,24.485005
TMEM131,21.25242
TMPO,21.159435000000002
TRIP11,18.88814
UBXN2B,14.9275625
UTRN,20.134414999999997
WDR75,15.8457
WRAP53,
XRN2,
YEATS2,19.46907
ZMYM2,12.994124
ZMYND8,20.685785
AAGAB,20.95542
ACAP2,22.956245000000003
ADNP,23.21027
ANK3,23.919055
ANLN,25.825674999999997
ARFGEF3,23.167189999999998
ARHGAP21,
ARHGEF7,21.101575
ARID4B,
ATP13A1,21.310789999999997
AZI2,17.0709
BAZ2B,
BLOC1S3,15.717620499999999
C11orf68,19.07474
C11orf84,11.257629
C15orf62,
C5orf30,26.02168
C8orf37,21.820275
CADPS2,23.166275
CARD14,
CARHSP1,29.04748
CASKIN2,
CCDC120,
CD2AP,27.006815
CDC42EP4,17.838
CDC5L,21.707935
CDK11B;CDK11A,21.90565
CHD1,21.272095
CHD7,20.56243
CHD8,20.33613
COBLL1,21.258364999999998
CTAGE5;MIA2;CTAGE1,25.59032
CTAGE5;MIA2;CTAGE4;CTAGE8;CTAGE9;CTAGE15;CTAGE6,18.18462
CTAGE5;MIA2,16.6036
CTNNA1;CTNNA2,23.696930000000002
DDB2,22.00339
DHX57,13.6625415
DNAJC21,17.877825
DNMT3B,20.400365
DOCK6,22.643005000000002
DOCK7,
EBAG9,22.891025
EEF2K,17.365595
EIF1AD,18.555950000000003
EIF3A,25.341610000000003
EPS8L1,
ESYT2,
FADD,
FAM160A2,22.848495
FNBP1L,23.431604999999998
FOXJ3,23.915185
FTSJ3,18.830334999999998
G3BP1,16.533875000000002
G3BP2,22.04922
GON4L,18.948175
GRAMD4,20.060395
GTPBP1,
HACD3,26.234395
HEXIM2,21.169185
JUND,15.726424999999999
KAZN,19.969515
KIAA0430,23.674690000000002
KIF21A,19.90134
MAPK4,19.567805
MARCKSL1,24.1232
MAST4,20.75822
MAX,
MBD2,
MEF2D,16.135894999999998
MFAP1,23.064065
MINK1,22.82282
MIS18BP1,
MTOR,20.445140000000002
MTUS1,20.164
NBN,22.793955
NBR1,
NCOA5,21.30775
NMD3,20.476985
NOC2L,19.463964999999998
OFD1,20.700495
OPTN,21.76645
OSBP,23.18249
OSTF1,19.77584
OTUD4,19.636015
PDAP1,16.28795
PGRMC1,26.246589999999998
PGRMC2,24.056189999999997
PI4KB,
PKP3,21.75627
PLCB3,24.119395
PLEKHA6,18.81884
PLEKHG3,23.041715
PPFIBP2,16.965425
PPID,19.339955
PPL,21.012715
PPP1R13B,20.728585
PRDX2,25.660519999999998
PRIM1,
PRKD2,18.72943
PRPF4B,21.40105
PRR11,19.35749
PRR36,
PTEN,15.471070000000001
PTGES3,23.509945
PTMA,
PUM1,27.52538
PUM2,23.30329
RAD9A,19.812685
RAP1GAP2,17.288175000000003
RAPH1,19.97777
RBBP8NL,14.986999
RHBDF2,
RIMS2,20.25649
RLF,22.423005
RPLP2;RPLP1,23.86723
RSBN1L,20.47811
SAFB2;SAFB,17.634155
SAFB2,21.449334999999998
SCD,
SENP3,20.682850000000002
SF3B1,
SIPA1L3,
SLC12A7,21.81512
SMPD4,18.131655
SNX16,21.300105000000002
SON,20.916829999999997
SPIN1,20.37905
SPIRE2,22.891455
ST13;ST13P4,23.43348
STK39,19.13908
STRN3,17.356205
STX17,23.849664999999998
STX7,20.85231
TBC1D15,23.20713
TBX3,20.614124999999998
TCERG1,
TEAD3,17.017715
TGOLN2,
TNRC6A,18.448175
TOM1L2,19.500985
TOP2B,25.007525
TRIM56,19.26712
TTF2,20.63127
USP24,17.308515
USP47,17.62355
VAMP4,21.96595
WBP11,20.46455
WDR43,21.889780000000002
WDR70,24.820790000000002
WWC3,16.626450000000002
YAP1,
ZBTB6,
ZC3H18,21.78048
ZNF282,13.571744
ZNF326,15.438144999999999
FLNA,
MAP1S,22.22812
MAP1B,12.568677999999998
AMOT,20.376085
ANKRD17,22.72543
ANKS1A,21.818095
ARHGAP35,23.154505
ARHGEF2,21.404555000000002
ARHGEF35,20.128715
AR,20.92011
ASPM,23.300305
BABAM1,15.218065000000001
BCL9L,
BCLAF1,25.61399
BRCA1,24.711045
C15orf39,17.970335
CAPN1,14.8468935
CCAR2,
CCDC132,19.898075
CDAN1,12.9742165
CDK11B,20.476745
CDR2L,20.30275
CHERP,15.810455
CIC,20.14549
CLASP1,22.184615
CNKSR2,20.7628
CREBBP,
CRTC2,20.57459
CRYBG3,19.79327
DAXX,19.353749999999998
DBNL,23.643845
DCAF6,21.58285
DCP1B,22.94824
DDX3X;DDX3Y,26.347160000000002
DEPTOR,21.1938
DIDO1,22.301655
DMXL1,14.863616
DNTTIP2,
DPYSL2,22.30564
DPYSL3,
E2F1,15.875985
EHBP1,22.332995
EIF4H,
ELMSAN1,24.929814999999998
ERF,13.7169685
EXOC4,18.82274
FAM126B,
FAM129B,25.722735
FAM188B,21.006050000000002
FAM21A,15.34986
FAM83B,24.310565
FASN,26.950000000000003
FHDC1,
FHOD1,22.456815
FNIP1,18.6832
FOXN3,
GATAD2B,18.56097
GBF1,22.014015
GIGYF1,15.217625
GLE1,17.877865
GPRC5C,18.920035
HCFC1,23.88075
HERC1,17.20522
HIST1H4A,21.64346
HOOK1,16.216755
ICA1,
IRF2BP1,
ITSN2,22.968535
JUN,21.32203
KCTD20,15.271305
KIAA1598,24.76055
KIAA1671,23.66608
KIAA1958,13.432193
KLC3,21.890025
KMT2D,23.52835
KRT18,24.544285
MAP4K4,
MAP4,21.538845000000002
MAPK1,26.208714999999998
MAPK3,21.048335
MICALL1,16.28348
MIEF1,
MISP,21.267145
MMTAG2,
MPZL1,19.11667
MTMR4,
MUC5AC,
NBEAL2,14.128368000000002
NCKAP5L,21.807305
NELFE,19.55299
NFATC1,
NHSL1,21.737885
NUP107,25.049225
NUP210,22.36511
PAICS,27.489760000000004
PAN3,
PARP4,14.656403000000001
PFDN4,17.365165
PIEZO1,24.766915
PKP4,
PPP1R7,20.15341
